val_mae,val_loss,epoch,step,train_mae,train_loss
3.045330762863159,3.0326528549194336,26,10718,,
,,27,10718,2.605973958969116,2.6061716079711914
2.8866970539093018,2.875159978866577,27,11115,,
,,28,11115,2.6046197414398193,2.604757308959961
2.881178379058838,2.8697962760925293,28,11512,,
,,29,11512,2.597632646560669,2.597672462463379
2.912142276763916,2.9002203941345215,29,11909,,
,,30,11909,2.599940538406372,2.6000003814697266
2.9016644954681396,2.889826774597168,30,12306,,
,,31,12306,2.5995516777038574,2.599700927734375
2.887193202972412,2.8756673336029053,31,12703,,
,,32,12703,2.5954477787017822,2.595510244369507
2.8943076133728027,2.882622480392456,32,13100,,
,,33,13100,2.5961527824401855,2.596331834793091
2.922909736633301,2.9109866619110107,33,13497,,
,,34,13497,2.5940752029418945,2.5939865112304688
2.9053754806518555,2.893831491470337,34,13894,,
,,35,13894,2.5943443775177,2.5944454669952393
2.8641626834869385,2.8528733253479004,35,14291,,
,,36,14291,2.591686964035034,2.591677188873291
2.872527599334717,2.8609659671783447,36,14688,,
,,37,14688,2.592935800552368,2.592984437942505
2.8872501850128174,2.8759570121765137,37,15085,,
,,38,15085,2.5883336067199707,2.5883500576019287
2.85974383354187,2.8484044075012207,38,15482,,
,,39,15482,2.588186025619507,2.5881826877593994
2.8657994270324707,2.8544747829437256,39,15879,,
,,40,15879,2.5896897315979004,2.5896506309509277
2.8641958236694336,2.852851629257202,40,16276,,
,,41,16276,2.5899922847747803,2.5900685787200928
2.862464666366577,2.8512001037597656,41,16673,,
,,42,16673,2.5844719409942627,2.5843985080718994
2.8756422996520996,2.8641929626464844,42,17070,,
,,43,17070,2.5828585624694824,2.582794666290283
2.8811304569244385,2.869882822036743,43,17467,,
,,44,17467,2.583590269088745,2.583864688873291
2.8643531799316406,2.852900743484497,44,17864,,
,,45,17864,2.582575798034668,2.582718849182129
2.9187374114990234,2.9068055152893066,45,18261,,
,,46,18261,2.57771635055542,2.5777549743652344
2.878322124481201,2.8668599128723145,46,18658,,
,,47,18658,2.5788424015045166,2.578911542892456
2.866978406906128,2.8556363582611084,47,19055,,
,,48,19055,2.574249029159546,2.574270009994507
2.879164695739746,2.8677000999450684,48,19452,,
,,49,19452,2.5722804069519043,2.572338342666626
2.867570638656616,2.8559510707855225,49,19849,,
,,50,19849,2.576493501663208,2.5765600204467773
2.870730400085449,2.8592588901519775,50,20246,,
,,51,20246,2.5783090591430664,2.5783045291900635
2.8548381328582764,2.843567371368408,51,20643,,
,,52,20643,2.5751118659973145,2.57513689994812
2.8538506031036377,2.8425140380859375,52,21040,,
,,53,21040,2.5699832439422607,2.5699923038482666
2.876211166381836,2.8647940158843994,53,21437,,
,,54,21437,2.569025993347168,2.5690677165985107
2.8526642322540283,2.8412015438079834,54,21834,,
,,55,21834,2.5694680213928223,2.569573402404785
2.859872579574585,2.848498582839966,55,22231,,
,,56,22231,2.567814350128174,2.567905902862549
2.8475215435028076,2.836301565170288,56,22628,,
,,57,22628,2.5691113471984863,2.569056987762451
2.852120876312256,2.8408749103546143,57,23025,,
,,58,23025,2.5697479248046875,2.569763422012329
2.8507468700408936,2.8393611907958984,58,23422,,
,,59,23422,2.565601348876953,2.565706491470337
2.851696252822876,2.8404784202575684,59,23819,,
,,60,23819,2.5646119117736816,2.564685344696045
2.8536155223846436,2.8420770168304443,60,24216,,
,,61,24216,2.5627949237823486,2.5628745555877686
2.845284938812256,2.833982229232788,61,24613,,
,,62,24613,2.56286883354187,2.562793254852295
2.8496172428131104,2.8382699489593506,62,25010,,
,,63,25010,2.561735153198242,2.5617024898529053
2.8607709407806396,2.8493452072143555,63,25407,,
,,64,25407,2.5614986419677734,2.5614984035491943
2.865025758743286,2.853569269180298,64,25804,,
,,65,25804,2.5607151985168457,2.560720443725586
2.85874080657959,2.84733510017395,65,26201,,
,,66,26201,2.5590367317199707,2.5590169429779053
